name,input_sell_in,input_quality,expected_sell_in,expected_quality
+5 Dexterity Vest,50,50,49,49
+5 Dexterity Vest,50,45,49,44
+5 Dexterity Vest,50,40,49,39
+5 Dexterity Vest,50,35,49,34
+5 Dexterity Vest,50,30,49,29
+5 Dexterity Vest,50,25,49,24
+5 Dexterity Vest,50,20,49,19
+5 Dexterity Vest,50,15,49,14
+5 Dexterity Vest,50,10,49,9
+5 Dexterity Vest,50,5,49,4
+5 Dexterity Vest,50,0,49,0
+5 Dexterity Vest,45,50,44,49
+5 Dexterity Vest,45,45,44,44
+5 Dexterity Vest,45,40,44,39
+5 Dexterity Vest,45,35,44,34
+5 Dexterity Vest,45,30,44,29
+5 Dexterity Vest,45,25,44,24
+5 Dexterity Vest,45,20,44,19
+5 Dexterity Vest,45,15,44,14
+5 Dexterity Vest,45,10,44,9
+5 Dexterity Vest,45,5,44,4
+5 Dexterity Vest,45,0,44,0
+5 Dexterity Vest,40,50,39,49
+5 Dexterity Vest,40,45,39,44
+5 Dexterity Vest,40,40,39,39
+5 Dexterity Vest,40,35,39,34
+5 Dexterity Vest,40,30,39,29
+5 Dexterity Vest,40,25,39,24
+5 Dexterity Vest,40,20,39,19
+5 Dexterity Vest,40,15,39,14
+5 Dexterity Vest,40,10,39,9
+5 Dexterity Vest,40,5,39,4
+5 Dexterity Vest,40,0,39,0
+5 Dexterity Vest,35,50,34,49
+5 Dexterity Vest,35,45,34,44
+5 Dexterity Vest,35,40,34,39
+5 Dexterity Vest,35,35,34,34
+5 Dexterity Vest,35,30,34,29
+5 Dexterity Vest,35,25,34,24
+5 Dexterity Vest,35,20,34,19
+5 Dexterity Vest,35,15,34,14
+5 Dexterity Vest,35,10,34,9
+5 Dexterity Vest,35,5,34,4
+5 Dexterity Vest,35,0,34,0
+5 Dexterity Vest,30,50,29,49
+5 Dexterity Vest,30,45,29,44
+5 Dexterity Vest,30,40,29,39
+5 Dexterity Vest,30,35,29,34
+5 Dexterity Vest,30,30,29,29
+5 Dexterity Vest,30,25,29,24
+5 Dexterity Vest,30,20,29,19
+5 Dexterity Vest,30,15,29,14
+5 Dexterity Vest,30,10,29,9
+5 Dexterity Vest,30,5,29,4
+5 Dexterity Vest,30,0,29,0
+5 Dexterity Vest,25,50,24,49
+5 Dexterity Vest,25,45,24,44
+5 Dexterity Vest,25,40,24,39
+5 Dexterity Vest,25,35,24,34
+5 Dexterity Vest,25,30,24,29
+5 Dexterity Vest,25,25,24,24
+5 Dexterity Vest,25,20,24,19
+5 Dexterity Vest,25,15,24,14
+5 Dexterity Vest,25,10,24,9
+5 Dexterity Vest,25,5,24,4
+5 Dexterity Vest,25,0,24,0
+5 Dexterity Vest,20,50,19,49
+5 Dexterity Vest,20,45,19,44
+5 Dexterity Vest,20,40,19,39
+5 Dexterity Vest,20,35,19,34
+5 Dexterity Vest,20,30,19,29
+5 Dexterity Vest,20,25,19,24
+5 Dexterity Vest,20,20,19,19
+5 Dexterity Vest,20,15,19,14
+5 Dexterity Vest,20,10,19,9
+5 Dexterity Vest,20,5,19,4
+5 Dexterity Vest,20,0,19,0
+5 Dexterity Vest,15,50,14,49
+5 Dexterity Vest,15,45,14,44
+5 Dexterity Vest,15,40,14,39
+5 Dexterity Vest,15,35,14,34
+5 Dexterity Vest,15,30,14,29
+5 Dexterity Vest,15,25,14,24
+5 Dexterity Vest,15,20,14,19
+5 Dexterity Vest,15,15,14,14
+5 Dexterity Vest,15,10,14,9
+5 Dexterity Vest,15,5,14,4
+5 Dexterity Vest,15,0,14,0
+5 Dexterity Vest,10,50,9,49
+5 Dexterity Vest,10,45,9,44
+5 Dexterity Vest,10,40,9,39
+5 Dexterity Vest,10,35,9,34
+5 Dexterity Vest,10,30,9,29
+5 Dexterity Vest,10,25,9,24
+5 Dexterity Vest,10,20,9,19
+5 Dexterity Vest,10,15,9,14
+5 Dexterity Vest,10,10,9,9
+5 Dexterity Vest,10,5,9,4
+5 Dexterity Vest,10,0,9,0
+5 Dexterity Vest,5,50,4,49
+5 Dexterity Vest,5,45,4,44
+5 Dexterity Vest,5,40,4,39
+5 Dexterity Vest,5,35,4,34
+5 Dexterity Vest,5,30,4,29
+5 Dexterity Vest,5,25,4,24
+5 Dexterity Vest,5,20,4,19
+5 Dexterity Vest,5,15,4,14
+5 Dexterity Vest,5,10,4,9
+5 Dexterity Vest,5,5,4,4
+5 Dexterity Vest,5,0,4,0
+5 Dexterity Vest,0,50,-1,48
+5 Dexterity Vest,0,45,-1,43
+5 Dexterity Vest,0,40,-1,38
+5 Dexterity Vest,0,35,-1,33
+5 Dexterity Vest,0,30,-1,28
+5 Dexterity Vest,0,25,-1,23
+5 Dexterity Vest,0,20,-1,18
+5 Dexterity Vest,0,15,-1,13
+5 Dexterity Vest,0,10,-1,8
+5 Dexterity Vest,0,5,-1,3
+5 Dexterity Vest,0,0,-1,0
+5 Dexterity Vest,-5,50,-6,48
+5 Dexterity Vest,-5,45,-6,43
+5 Dexterity Vest,-5,40,-6,38
+5 Dexterity Vest,-5,35,-6,33
+5 Dexterity Vest,-5,30,-6,28
+5 Dexterity Vest,-5,25,-6,23
+5 Dexterity Vest,-5,20,-6,18
+5 Dexterity Vest,-5,15,-6,13
+5 Dexterity Vest,-5,10,-6,8
+5 Dexterity Vest,-5,5,-6,3
+5 Dexterity Vest,-5,0,-6,0
+5 Dexterity Vest,-10,50,-11,48
+5 Dexterity Vest,-10,45,-11,43
+5 Dexterity Vest,-10,40,-11,38
+5 Dexterity Vest,-10,35,-11,33
+5 Dexterity Vest,-10,30,-11,28
+5 Dexterity Vest,-10,25,-11,23
+5 Dexterity Vest,-10,20,-11,18
+5 Dexterity Vest,-10,15,-11,13
+5 Dexterity Vest,-10,10,-11,8
+5 Dexterity Vest,-10,5,-11,3
+5 Dexterity Vest,-10,0,-11,0
+5 Dexterity Vest,-15,50,-16,48
+5 Dexterity Vest,-15,45,-16,43
+5 Dexterity Vest,-15,40,-16,38
+5 Dexterity Vest,-15,35,-16,33
+5 Dexterity Vest,-15,30,-16,28
+5 Dexterity Vest,-15,25,-16,23
+5 Dexterity Vest,-15,20,-16,18
+5 Dexterity Vest,-15,15,-16,13
+5 Dexterity Vest,-15,10,-16,8
+5 Dexterity Vest,-15,5,-16,3
+5 Dexterity Vest,-15,0,-16,0
+5 Dexterity Vest,-20,50,-21,48
+5 Dexterity Vest,-20,45,-21,43
+5 Dexterity Vest,-20,40,-21,38
+5 Dexterity Vest,-20,35,-21,33
+5 Dexterity Vest,-20,30,-21,28
+5 Dexterity Vest,-20,25,-21,23
+5 Dexterity Vest,-20,20,-21,18
+5 Dexterity Vest,-20,15,-21,13
+5 Dexterity Vest,-20,10,-21,8
+5 Dexterity Vest,-20,5,-21,3
+5 Dexterity Vest,-20,0,-21,0
+5 Dexterity Vest,-25,50,-26,48
+5 Dexterity Vest,-25,45,-26,43
+5 Dexterity Vest,-25,40,-26,38
+5 Dexterity Vest,-25,35,-26,33
+5 Dexterity Vest,-25,30,-26,28
+5 Dexterity Vest,-25,25,-26,23
+5 Dexterity Vest,-25,20,-26,18
+5 Dexterity Vest,-25,15,-26,13
+5 Dexterity Vest,-25,10,-26,8
+5 Dexterity Vest,-25,5,-26,3
+5 Dexterity Vest,-25,0,-26,0
+5 Dexterity Vest,-30,50,-31,48
+5 Dexterity Vest,-30,45,-31,43
+5 Dexterity Vest,-30,40,-31,38
+5 Dexterity Vest,-30,35,-31,33
+5 Dexterity Vest,-30,30,-31,28
+5 Dexterity Vest,-30,25,-31,23
+5 Dexterity Vest,-30,20,-31,18
+5 Dexterity Vest,-30,15,-31,13
+5 Dexterity Vest,-30,10,-31,8
+5 Dexterity Vest,-30,5,-31,3
+5 Dexterity Vest,-30,0,-31,0
Aged Brie,50,50,49,50
Aged Brie,50,45,49,46
Aged Brie,50,40,49,41
Aged Brie,50,35,49,36
Aged Brie,50,30,49,31
Aged Brie,50,25,49,26
Aged Brie,50,20,49,21
Aged Brie,50,15,49,16
Aged Brie,50,10,49,11
Aged Brie,50,5,49,6
Aged Brie,50,0,49,1
Aged Brie,45,50,44,50
Aged Brie,45,45,44,46
Aged Brie,45,40,44,41
Aged Brie,45,35,44,36
Aged Brie,45,30,44,31
Aged Brie,45,25,44,26
Aged Brie,45,20,44,21
Aged Brie,45,15,44,16
Aged Brie,45,10,44,11
Aged Brie,45,5,44,6
Aged Brie,45,0,44,1
Aged Brie,40,50,39,50
Aged Brie,40,45,39,46
Aged Brie,40,40,39,41
Aged Brie,40,35,39,36
Aged Brie,40,30,39,31
Aged Brie,40,25,39,26
Aged Brie,40,20,39,21
Aged Brie,40,15,39,16
Aged Brie,40,10,39,11
Aged Brie,40,5,39,6
Aged Brie,40,0,39,1
Aged Brie,35,50,34,50
Aged Brie,35,45,34,46
Aged Brie,35,40,34,41
Aged Brie,35,35,34,36
Aged Brie,35,30,34,31
Aged Brie,35,25,34,26
Aged Brie,35,20,34,21
Aged Brie,35,15,34,16
Aged Brie,35,10,34,11
Aged Brie,35,5,34,6
Aged Brie,35,0,34,1
Aged Brie,30,50,29,50
Aged Brie,30,45,29,46
Aged Brie,30,40,29,41
Aged Brie,30,35,29,36
Aged Brie,30,30,29,31
Aged Brie,30,25,29,26
Aged Brie,30,20,29,21
Aged Brie,30,15,29,16
Aged Brie,30,10,29,11
Aged Brie,30,5,29,6
Aged Brie,30,0,29,1
Aged Brie,25,50,24,50
Aged Brie,25,45,24,46
Aged Brie,25,40,24,41
Aged Brie,25,35,24,36
Aged Brie,25,30,24,31
Aged Brie,25,25,24,26
Aged Brie,25,20,24,21
Aged Brie,25,15,24,16
Aged Brie,25,10,24,11
Aged Brie,25,5,24,6
Aged Brie,25,0,24,1
Aged Brie,20,50,19,50
Aged Brie,20,45,19,46
Aged Brie,20,40,19,41
Aged Brie,20,35,19,36
Aged Brie,20,30,19,31
Aged Brie,20,25,19,26
Aged Brie,20,20,19,21
Aged Brie,20,15,19,16
Aged Brie,20,10,19,11
Aged Brie,20,5,19,6
Aged Brie,20,0,19,1
Aged Brie,15,50,14,50
Aged Brie,15,45,14,46
Aged Brie,15,40,14,41
Aged Brie,15,35,14,36
Aged Brie,15,30,14,31
Aged Brie,15,25,14,26
Aged Brie,15,20,14,21
Aged Brie,15,15,14,16
Aged Brie,15,10,14,11
Aged Brie,15,5,14,6
Aged Brie,15,0,14,1
Aged Brie,10,50,9,50
Aged Brie,10,45,9,46
Aged Brie,10,40,9,41
Aged Brie,10,35,9,36
Aged Brie,10,30,9,31
Aged Brie,10,25,9,26
Aged Brie,10,20,9,21
Aged Brie,10,15,9,16
Aged Brie,10,10,9,11
Aged Brie,10,5,9,6
Aged Brie,10,0,9,1
Aged Brie,5,50,4,50
Aged Brie,5,45,4,46
Aged Brie,5,40,4,41
Aged Brie,5,35,4,36
Aged Brie,5,30,4,31
Aged Brie,5,25,4,26
Aged Brie,5,20,4,21
Aged Brie,5,15,4,16
Aged Brie,5,10,4,11
Aged Brie,5,5,4,6
Aged Brie,5,0,4,1
Aged Brie,0,50,-1,50
Aged Brie,0,45,-1,47
Aged Brie,0,40,-1,42
Aged Brie,0,35,-1,37
Aged Brie,0,30,-1,32
Aged Brie,0,25,-1,27
Aged Brie,0,20,-1,22
Aged Brie,0,15,-1,17
Aged Brie,0,10,-1,12
Aged Brie,0,5,-1,7
Aged Brie,0,0,-1,2
Aged Brie,-5,50,-6,50
Aged Brie,-5,45,-6,47
Aged Brie,-5,40,-6,42
Aged Brie,-5,35,-6,37
Aged Brie,-5,30,-6,32
Aged Brie,-5,25,-6,27
Aged Brie,-5,20,-6,22
Aged Brie,-5,15,-6,17
Aged Brie,-5,10,-6,12
Aged Brie,-5,5,-6,7
Aged Brie,-5,0,-6,2
Aged Brie,-10,50,-11,50
Aged Brie,-10,45,-11,47
Aged Brie,-10,40,-11,42
Aged Brie,-10,35,-11,37
Aged Brie,-10,30,-11,32
Aged Brie,-10,25,-11,27
Aged Brie,-10,20,-11,22
Aged Brie,-10,15,-11,17
Aged Brie,-10,10,-11,12
Aged Brie,-10,5,-11,7
Aged Brie,-10,0,-11,2
Aged Brie,-15,50,-16,50
Aged Brie,-15,45,-16,47
Aged Brie,-15,40,-16,42
Aged Brie,-15,35,-16,37
Aged Brie,-15,30,-16,32
Aged Brie,-15,25,-16,27
Aged Brie,-15,20,-16,22
Aged Brie,-15,15,-16,17
Aged Brie,-15,10,-16,12
Aged Brie,-15,5,-16,7
Aged Brie,-15,0,-16,2
Aged Brie,-20,50,-21,50
Aged Brie,-20,45,-21,47
Aged Brie,-20,40,-21,42
Aged Brie,-20,35,-21,37
Aged Brie,-20,30,-21,32
Aged Brie,-20,25,-21,27
Aged Brie,-20,20,-21,22
Aged Brie,-20,15,-21,17
Aged Brie,-20,10,-21,12
Aged Brie,-20,5,-21,7
Aged Brie,-20,0,-21,2
Aged Brie,-25,50,-26,50
Aged Brie,-25,45,-26,47
Aged Brie,-25,40,-26,42
Aged Brie,-25,35,-26,37
Aged Brie,-25,30,-26,32
Aged Brie,-25,25,-26,27
Aged Brie,-25,20,-26,22
Aged Brie,-25,15,-26,17
Aged Brie,-25,10,-26,12
Aged Brie,-25,5,-26,7
Aged Brie,-25,0,-26,2
Aged Brie,-30,50,-31,50
Aged Brie,-30,45,-31,47
Aged Brie,-30,40,-31,42
Aged Brie,-30,35,-31,37
Aged Brie,-30,30,-31,32
Aged Brie,-30,25,-31,27
Aged Brie,-30,20,-31,22
Aged Brie,-30,15,-31,17
Aged Brie,-30,10,-31,12
Aged Brie,-30,5,-31,7
Aged Brie,-30,0,-31,2
Elixir of the Mongoose,50,50,49,49
Elixir of the Mongoose,50,45,49,44
Elixir of the Mongoose,50,40,49,39
Elixir of the Mongoose,50,35,49,34
Elixir of the Mongoose,50,30,49,29
Elixir of the Mongoose,50,25,49,24
Elixir of the Mongoose,50,20,49,19
Elixir of the Mongoose,50,15,49,14
Elixir of the Mongoose,50,10,49,9
Elixir of the Mongoose,50,5,49,4
Elixir of the Mongoose,50,0,49,0
Elixir of the Mongoose,45,50,44,49
Elixir of the Mongoose,45,45,44,44
Elixir of the Mongoose,45,40,44,39
Elixir of the Mongoose,45,35,44,34
Elixir of the Mongoose,45,30,44,29
Elixir of the Mongoose,45,25,44,24
Elixir of the Mongoose,45,20,44,19
Elixir of the Mongoose,45,15,44,14
Elixir of the Mongoose,45,10,44,9
Elixir of the Mongoose,45,5,44,4
Elixir of the Mongoose,45,0,44,0
Elixir of the Mongoose,40,50,39,49
Elixir of the Mongoose,40,45,39,44
Elixir of the Mongoose,40,40,39,39
Elixir of the Mongoose,40,35,39,34
Elixir of the Mongoose,40,30,39,29
Elixir of the Mongoose,40,25,39,24
Elixir of the Mongoose,40,20,39,19
Elixir of the Mongoose,40,15,39,14
Elixir of the Mongoose,40,10,39,9
Elixir of the Mongoose,40,5,39,4
Elixir of the Mongoose,40,0,39,0
Elixir of the Mongoose,35,50,34,49
Elixir of the Mongoose,35,45,34,44
Elixir of the Mongoose,35,40,34,39
Elixir of the Mongoose,35,35,34,34
Elixir of the Mongoose,35,30,34,29
Elixir of the Mongoose,35,25,34,24
Elixir of the Mongoose,35,20,34,19
Elixir of the Mongoose,35,15,34,14
Elixir of the Mongoose,35,10,34,9
Elixir of the Mongoose,35,5,34,4
Elixir of the Mongoose,35,0,34,0
Elixir of the Mongoose,30,50,29,49
Elixir of the Mongoose,30,45,29,44
Elixir of the Mongoose,30,40,29,39
Elixir of the Mongoose,30,35,29,34
Elixir of the Mongoose,30,30,29,29
Elixir of the Mongoose,30,25,29,24
Elixir of the Mongoose,30,20,29,19
Elixir of the Mongoose,30,15,29,14
Elixir of the Mongoose,30,10,29,9
Elixir of the Mongoose,30,5,29,4
Elixir of the Mongoose,30,0,29,0
Elixir of the Mongoose,25,50,24,49
Elixir of the Mongoose,25,45,24,44
Elixir of the Mongoose,25,40,24,39
Elixir of the Mongoose,25,35,24,34
Elixir of the Mongoose,25,30,24,29
Elixir of the Mongoose,25,25,24,24
Elixir of the Mongoose,25,20,24,19
Elixir of the Mongoose,25,15,24,14
Elixir of the Mongoose,25,10,24,9
Elixir of the Mongoose,25,5,24,4
Elixir of the Mongoose,25,0,24,0
Elixir of the Mongoose,20,50,19,49
Elixir of the Mongoose,20,45,19,44
Elixir of the Mongoose,20,40,19,39
Elixir of the Mongoose,20,35,19,34
Elixir of the Mongoose,20,30,19,29
Elixir of the Mongoose,20,25,19,24
Elixir of the Mongoose,20,20,19,19
Elixir of the Mongoose,20,15,19,14
Elixir of the Mongoose,20,10,19,9
Elixir of the Mongoose,20,5,19,4
Elixir of the Mongoose,20,0,19,0
Elixir of the Mongoose,15,50,14,49
Elixir of the Mongoose,15,45,14,44
Elixir of the Mongoose,15,40,14,39
Elixir of the Mongoose,15,35,14,34
Elixir of the Mongoose,15,30,14,29
Elixir of the Mongoose,15,25,14,24
Elixir of the Mongoose,15,20,14,19
Elixir of the Mongoose,15,15,14,14
Elixir of the Mongoose,15,10,14,9
Elixir of the Mongoose,15,5,14,4
Elixir of the Mongoose,15,0,14,0
Elixir of the Mongoose,10,50,9,49
Elixir of the Mongoose,10,45,9,44
Elixir of the Mongoose,10,40,9,39
Elixir of the Mongoose,10,35,9,34
Elixir of the Mongoose,10,30,9,29
Elixir of the Mongoose,10,25,9,24
Elixir of the Mongoose,10,20,9,19
Elixir of the Mongoose,10,15,9,14
Elixir of the Mongoose,10,10,9,9
Elixir of the Mongoose,10,5,9,4
Elixir of the Mongoose,10,0,9,0
Elixir of the Mongoose,5,50,4,49
Elixir of the Mongoose,5,45,4,44
Elixir of the Mongoose,5,40,4,39
Elixir of the Mongoose,5,35,4,34
Elixir of the Mongoose,5,30,4,29
Elixir of the Mongoose,5,25,4,24
Elixir of the Mongoose,5,20,4,19
Elixir of the Mongoose,5,15,4,14
Elixir of the Mongoose,5,10,4,9
Elixir of the Mongoose,5,5,4,4
Elixir of the Mongoose,5,0,4,0
Elixir of the Mongoose,0,50,-1,48
Elixir of the Mongoose,0,45,-1,43
Elixir of the Mongoose,0,40,-1,38
Elixir of the Mongoose,0,35,-1,33
Elixir of the Mongoose,0,30,-1,28
Elixir of the Mongoose,0,25,-1,23
Elixir of the Mongoose,0,20,-1,18
Elixir of the Mongoose,0,15,-1,13
Elixir of the Mongoose,0,10,-1,8
Elixir of the Mongoose,0,5,-1,3
Elixir of the Mongoose,0,0,-1,0
Elixir of the Mongoose,-5,50,-6,48
Elixir of the Mongoose,-5,45,-6,43
Elixir of the Mongoose,-5,40,-6,38
Elixir of the Mongoose,-5,35,-6,33
Elixir of the Mongoose,-5,30,-6,28
Elixir of the Mongoose,-5,25,-6,23
Elixir of the Mongoose,-5,20,-6,18
Elixir of the Mongoose,-5,15,-6,13
Elixir of the Mongoose,-5,10,-6,8
Elixir of the Mongoose,-5,5,-6,3
Elixir of the Mongoose,-5,0,-6,0
Elixir of the Mongoose,-10,50,-11,48
Elixir of the Mongoose,-10,45,-11,43
Elixir of the Mongoose,-10,40,-11,38
Elixir of the Mongoose,-10,35,-11,33
Elixir of the Mongoose,-10,30,-11,28
Elixir of the Mongoose,-10,25,-11,23
Elixir of the Mongoose,-10,20,-11,18
Elixir of the Mongoose,-10,15,-11,13
Elixir of the Mongoose,-10,10,-11,8
Elixir of the Mongoose,-10,5,-11,3
Elixir of the Mongoose,-10,0,-11,0
Elixir of the Mongoose,-15,50,-16,48
Elixir of the Mongoose,-15,45,-16,43
Elixir of the Mongoose,-15,40,-16,38
Elixir of the Mongoose,-15,35,-16,33
Elixir of the Mongoose,-15,30,-16,28
Elixir of the Mongoose,-15,25,-16,23
Elixir of the Mongoose,-15,20,-16,18
Elixir of the Mongoose,-15,15,-16,13
Elixir of the Mongoose,-15,10,-16,8
Elixir of the Mongoose,-15,5,-16,3
Elixir of the Mongoose,-15,0,-16,0
Elixir of the Mongoose,-20,50,-21,48
Elixir of the Mongoose,-20,45,-21,43
Elixir of the Mongoose,-20,40,-21,38
Elixir of the Mongoose,-20,35,-21,33
Elixir of the Mongoose,-20,30,-21,28
Elixir of the Mongoose,-20,25,-21,23
Elixir of the Mongoose,-20,20,-21,18
Elixir of the Mongoose,-20,15,-21,13
Elixir of the Mongoose,-20,10,-21,8
Elixir of the Mongoose,-20,5,-21,3
Elixir of the Mongoose,-20,0,-21,0
Elixir of the Mongoose,-25,50,-26,48
Elixir of the Mongoose,-25,45,-26,43
Elixir of the Mongoose,-25,40,-26,38
Elixir of the Mongoose,-25,35,-26,33
Elixir of the Mongoose,-25,30,-26,28
Elixir of the Mongoose,-25,25,-26,23
Elixir of the Mongoose,-25,20,-26,18
Elixir of the Mongoose,-25,15,-26,13
Elixir of the Mongoose,-25,10,-26,8
Elixir of the Mongoose,-25,5,-26,3
Elixir of the Mongoose,-25,0,-26,0
Elixir of the Mongoose,-30,50,-31,48
Elixir of the Mongoose,-30,45,-31,43
Elixir of the Mongoose,-30,40,-31,38
